area_identifier,area_name_en,area_name_ms,person_name_en,person_name_sl,post_role_en,post_role_ms,post_label_en,post_label_ms,on_behalf_of_name_en,on_behalf_of_name_ms,actual_party,start_date,end_date,person_id,membership_id,post_id,area_id,on_behalf_of_id
P083/N15,Tanjung Lumpur,Tanjung Lumpur,T. Zulkifly T. Ahmad,T. Zulkifly Bin T. Ahmad,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Tanjung Lumpur,,National Front,Barisan Nasional,UMNO,,,,,,,
P083/N16,Inderapura,Inderapura,Fakhrul Anuar bin Zulkawi,Fakhrul Anuar bin Zulkawi,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Inderapura,,People's Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,
P083/N16,Inderapura,Inderapura,Shafik Fauzan Sharif,Shafik Fauzan Bin Sharif,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Inderapura,,National Front,Barisan Nasional,UMNO,,,,,,,
P083/N16,Inderapura,Inderapura,Wan Maseri Wan Mohd,Wan Maseri Wan Mohd,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Inderapura,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P084/N17,Sungai Lembing,Sungai Lembing,Fauzi Abdul Rahman,Fauzi bin Abdul Rahman,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Sungai Lembing,,People's Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,
P084/N17,Sungai Lembing,Sungai Lembing,Md Sohaimi Mohamed Shah,Md Sohaimi Bin Mohamed Shah,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Sungai Lembing,,National Front,Barisan Nasional,UMNO,,,,,,,
P084/N17,Sungai Lembing,Sungai Lembing,Mohamad Hazmi Dibok,Mohamad Hazmi Bin Dibok,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Sungai Lembing,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P084/N18,Lepar,Lepar,Abd Rahim Muda,Abd Rahim Bin Muda,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Lepar,,National Front,Barisan Nasional,UMNO,,,,,,,
P084/N18,Lepar,Lepar,Mohd Nor HIsam Muhamad,Mohd Nor HIsam Bin Muhamad,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Lepar,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P084/N18,Lepar,Lepar,Nur Ad-Din Ibrahim,Nur Ad-Din Bin Ibrahim,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Lepar,,People's Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,
P084/N19,Panching,Panching,Benzin Dagok,Benzin Bin Dagok,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Panching,,Independent,Bebas,,,,,,,,
P084/N19,Panching,Panching,Kamarzaman Mohamed Yunus,Kamarzaman bin Mohamed Yunus,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Panching,,People's Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,
P084/N19,Panching,Panching,Mohd Tarmizi Yahaya,Mohd Tarmizi Bin Yahaya,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Panching,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P084/N19,Panching,Panching,Mohd Zaili Besar,Mohd Zaili Bin Besar,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Panching,,National Front,Barisan Nasional,UMNO,,,,,,,
