area_identifier,area_name_en,area_name_ms,person_name_en,person_name_ms,post_role_en,post_role_ms,post_label_en,post_label_ms,on_behalf_of_name_en,on_behalf_of_name_ms,actual_party,post_role_en,post_role_ms,post_label_en,post_label_ms,start_date,end_date,person_id,membership_id,post_id,area_id,on_behalf_of_id
P004,Langkawi,Langkawi,Mahathir Mohammad,Mahathir Bin Mohammad,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Langkawi,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,,,,,
P004,Langkawi,Langkawi,Nawawi Ahmad,Nawawi Bin Ahmad,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Langkawi,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P005,Jerlun,Jerlun,Abd Ghani Ahmad,Abd Ghani Bin Ahmad,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Jerlun,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P005,Jerlun,Jerlun,Othman Aziz,Othman Bin Aziz,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Jerlun,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P005,Jerlun,Jerlun,Mukhriz Mahathir,Mukhriz Bin Mahathir,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Jerlun,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,,,,,
P006,Kubang Pasu,Kubang Pasu,Mohd Johari Baharum,Mohd Johari Bin Baharum,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Kubang Pasu,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P006,Kubang Pasu,Kubang Pasu,Amiruddin Hamzah,Amiruddin Bin Hamzah,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Kubang Pasu,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,,,,,
P006,Kubang Pasu,Kubang Pasu,Norhafiza Fadzil,Norhafiza Binti Fadzil,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Kubang Pasu,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P007,Padang Terap,Padang Terap,Mohamad Azam Abd Majid @ Abd Aziz,Mohamad Azam Bin Abd Majid @ Abd Aziz,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Padang Terap,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P007,Padang Terap,Padang Terap,Mohd Khairizal Khazali,Mohd Khairizal Bin Khazali,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Padang Terap,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,,,,,
P007,Padang Terap,Padang Terap,Mahdzir Khalid,Mahdzir bin Khalid,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Padang Terap,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P008,Pokok Sena,Pokok Sena,Mahfuz Omar,Mahfuz Bin Omar,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Pokok Sena,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,,,,,
P008,Pokok Sena,Pokok Sena,Said Ali Said Rastan,Said Ali Bin Syed Rastan,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Pokok Sena,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P008,Pokok Sena,Pokok Sena,Muhamad Radhi Mat Din,Muhamad Radhi Bin Mat Din,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Pokok Sena,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P009,Alor Setar,Alor Setar,Muhammad Aminur Shafiq Mohamad Abduh,Muhammad Aminur Shafiq Bin Mohamad Abduh,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Alor Setar,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P009,Alor Setar,Alor Setar,Yoo Wei How,Yoo Wei How,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Alor Setar,,National Front,Barisan Nasional,MCA,,,,,,,,,,,
P009,Alor Setar,Alor Setar,Chan Ming Kai,Chan Ming Kai,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Alor Setar,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,,,,,
P010,Kuala Kedah,Kuala Kedah,Muhammad Riduan Othman,Muhammad Riduan Bin Othman,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Kuala Kedah,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P010,Kuala Kedah,Kuala Kedah,Abdullah Hasnan Kamaruddin,Abdullah Hasnan Bin Kamaruddin,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Kuala Kedah,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P010,Kuala Kedah,Kuala Kedah,Azman Ismail,Azman Bin Ismail,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Kuala Kedah,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,,,,,
P011,Pendang,Pendang,Othman Abdul,Othman Bin Abdul,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Pendang,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P011,Pendang,Pendang,Awang Hashim,Awang Bin Hashim,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Pendang,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P011,Pendang,Pendang,Wan Saifulruddin Wan Jan,Wan Saifulruddin Bin Wan Jan,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Pendang,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,,,,,
P011,Pendang,Pendang,Abdul Malik Manaf,Abdul Malik Bin Manaf,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Pendang,,Independent,Bebas,,,,,,,,,,,,
P012,Jerai,Jerai,Sabri Azit,Sabri Bin Azit,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Jerai,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P012,Jerai,Jerai,Jamil Khir Baharom,Jamil Khir Bin Baharom,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Jerai,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P012,Jerai,Jerai,Akramsyah Muammar Ubaidah Sanusi Junid,Akramsyah Muammar Ubaidah Bin Sanusi Junid,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Jerai,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,,,,,
P013,SIk,SIk,Ahmad Tarmizi Sulaiman,Ahmad Tarmizi Bin Sulaiman,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for SIk,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P013,SIk,SIk,Mansor Abd Rahman,Mansor Bin Abd Rahman,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for SIk,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P013,SIk,SIk,Azli Uda,Azli Bin Uda,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for SIk,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,,,,,
P014,Merbok,Merbok,Nor Azrina Surip,Nor Azrina Binti Surip,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Merbok,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,,,,,
P014,Merbok,Merbok,Ahmad Fauzi Ramli,Ahmad Fauzi Bin Ramli,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Merbok,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P014,Merbok,Merbok,Tajul Urus Mat Zain,Tajul Urus Bin Mat Zain,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Merbok,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P015,Sungai Petani,Sungai Petani,Johari Abdul,Johari Bin Abdul,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Sungai Petani,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,,,,,
P015,Sungai Petani,Sungai Petani,Shahril Long,Shahril Bin Long,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Sungai Petani,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P015,Sungai Petani,Sungai Petani,Shahanim Mohamad Yusoff,Shahanim Binti Mohamad Yusoff,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Sungai Petani,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P015,Sungai Petani,Sungai Petani,Sritharan Pichathu,Sritharan A/L Pichathu,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Sungai Petani,,Malaysian People's Party,Parti Rakyat Malaysia,PRM,,,,,,,,,,,
P016,Baling,Baling,Hassan Saad,Hassan Bin Saad,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Baling,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P016,Baling,Baling,Mohd Taufik Yaacob,Mohd Taufik Bin Yaacob,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Baling,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,,,,,
P016,Baling,Baling,Abdul Azeez Abdul Rahim,Abdul Azeez Bin Abdul Rahim,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Baling,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P017,Padang Serai,Padang Serai,Karupaiya Mutusami,Karupaiya A/L Mutusami,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Padang Serai,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,,,,,
P017,Padang Serai,Padang Serai,Leong Yong Kong,Leong Yong Kong,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Padang Serai,,National Front,Barisan Nasional,MCA,,,,,,,,,,,
P017,Padang Serai,Padang Serai,Muhamad Sobri Osman,Muhamad Sobri Osman,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Padang Serai,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P018,Kulim Bandar Baharu,Kulim Bandar Baharu,Abd Aziz Sheikh Fadzir,Abd Aziz Bin Sheikh Fadzir,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Kulim Bandar Baharu,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P018,Kulim Bandar Baharu,Kulim Bandar Baharu,Saifuddin Nasution Ismail,Saifuddin Nasution Bin Ismail,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Kulim Bandar Baharu,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,,,,,
P018,Kulim Bandar Baharu,Kulim Bandar Baharu,Abdul Raman Abdul Razak,Abdul Raman Bin Abdul Razak,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Kulim Bandar Baharu,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P019,Tumpat,Tumpat,Wan Johani Wan Hussin,Wan Johani Bin Wan Hussin,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Tumpat,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P019,Tumpat,Tumpat,Nordin Salleh,Nordin Bin Salleh,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Tumpat,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,,,,,
P019,Tumpat,Tumpat,Che Abdullah Mat Nawi,Che Abdullah Bin Mat Nawi,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Tumpat,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P020,Pengkalan Chepa,Pengkalan Chepa,Ahmad Marzuk Shaary,Ahmad Marzuk Bin Shaary,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Pengkalan Chepa,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P020,Pengkalan Chepa,Pengkalan Chepa,Zaluzi Sulaiman,Zaluzi Bin Sulaiman,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Pengkalan Chepa,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P020,Pengkalan Chepa,Pengkalan Chepa,Mohamad Ibrahim,Mohamad Bin Ibrahim,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Pengkalan Chepa,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,,,,,
P021,Kota Bahru,Kota Bahru,Husam Musa,Husam Bin Musa,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Kota Bahru,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,,,,,
P021,Kota Bahru,Kota Bahru,Fikhran  Hamshi Mohamad Fatmi,Fikhran  Hamshi Bin Mohamad Fatmi,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Kota Bahru,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P021,Kota Bahru,Kota Bahru,Takiyuddin Hassan,Takiyuddin Bin Hassan,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Kota Bahru,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P022,Pasir Mas,Pasir Mas,Che Ujang Che Daud,Che Ujang Bin Che Daud,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Pasir Mas,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,,,,,
P022,Pasir Mas,Pasir Mas,Nor Azmawi Ab Rahman @ Bawi,Nor Azmawi Bin Ab Rahman @ Bawi,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Pasir Mas,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P022,Pasir Mas,Pasir Mas,Ahmad Fadhli Shaari,Ahmad Fadhli Bin Shaari,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Pasir Mas,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P022,Pasir Mas,Pasir Mas,Ibrahim Ali,Ibrahim Bin Ali,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Pasir Mas,,Independent,Bebas ,,,,,,,,,,,,
P023,Rantau Panjang,Rantau Panjang,Siti Zailah Mohd Yusoff,Siti Zailah Binti Mohd Yusoff,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Rantau Panjang,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P023,Rantau Panjang,Rantau Panjang,Abdullah Mat Yassim,Abdullah Bin Mat Yassim,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Rantau Panjang,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P023,Rantau Panjang,Rantau Panjang,Wan Shah Jihan Wan Din,Wan Shah Jihan Bin Wan Din,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Rantau Panjang,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,,,,,
P024,Kubang Kerian,Kubang Kerian,Abdul Halim Yusof,Abdual Halim Bin Yusof,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Kubang Kerian,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,,,,,
P024,Kubang Kerian,Kubang Kerian,Mohamad Abdul Ghani,Mohamad  Bin Abdul Ghani,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Kubang Kerian,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P024,Kubang Kerian,Kubang Kerian,Tuan Ibrahim Tuan Man,Tuan Ibrahim Bin Tuan Man,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Kubang Kerian,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P025,Bachok,Bachok,Mohd Zulkifli Zakaria,Mohd Zulkifli Bin Zakaria,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Bachok,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,,,,,
P025,Bachok,Bachok,Nik Mohamad Abduh Nik Abdul Aziz,Nik Mohamad Abduh Bin Nik Abdul Aziz,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Bachok,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P025,Bachok,Bachok,Awang Adek Hussin,Awang Adek Bin Hussin,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Bachok,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P026,Ketereh,Ketereh,Wan Ismail Wan Jusoh,Wan Ismail Bin Wan Jusoh,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Ketereh,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P026,Ketereh,Ketereh,Mohd Radzi Md Jidin,Mohd Radzi Bin Md Jidin,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Ketereh,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,,,,,
P026,Ketereh,Ketereh,Annuar Musa,Annuar Bin Musa,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Ketereh,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P027,Tanah Merah,Tanah Merah,Ikmal Hisham Abdul Aziz,Ikmal Hisham Bin Abdul Aziz,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Tanah Merah,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P027,Tanah Merah,Tanah Merah,Johari Mat,Johari Bin Mat,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Tanah Merah,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P027,Tanah Merah,Tanah Merah,Mohamad Fauzi Zakaria,Mohamad Fauzi Bin Zakaria,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Tanah Merah,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,,,,,
P028,Pasir Puteh,Pasir Puteh,Asyraf Wajdi Dusuki,Asyraf Wajdi Bin Dusuki,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Pasir Putih,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P028,Pasir Puteh,Pasir Puteh,Nik Muhd Zawawi Salleh,Nik Muhd Zawawi Bin Salleh,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Pasir Putih,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P028,Pasir Puteh,Pasir Puteh,Kamarudin Md Nor,Kamarudin Bin Md Nor,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Pasir Putih,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,,,,,
P029,Machang,Machang,Zulkifli Mamat,Zulkifli Bin Mamat,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Machang,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P029,Machang,Machang,Sazmi Miah,Sazmi B. Miah,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Machang,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,,,,,
P029,Machang,Machang,Ahmad Jazlan Yaakub,Ahmad Jazlan Yaakub,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Machang,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P030,Jeli,Jeli,Mustapa Mohamed ,Mustapa Bin Mohamed ,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Jeli,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P030,Jeli,Jeli,Azran Deraman,Azran Bin Deraman,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Jeli,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,,,,,
P030,Jeli,Jeli,Mohamad Hamid,Mohamad Bin Hamid,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Jeli,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P031,Kuala Krai,Kuala Krai,Ramzi Ab Rahman,Ramzi Bin Ab Rahman,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Kuala Krai,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P031,Kuala Krai,Kuala Krai,Abdul Latiff Abdul Rahman,Abdul Latiff Bin Abdul Rahman,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Kuala Krai,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P031,Kuala Krai,Kuala Krai,Mohd Yazid Abdullah,Mohd Yazid Bin Abdullah,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Kuala Krai,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,,,,,
P032,Gua Musang,Gua Musang,Abdullah Hussein,Abdullah Bin Hussein,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Gua Musang,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P032,Gua Musang,Gua Musang,Mohd Nor Hussin,Mohd Nor Bin Hussin,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Gua Musang,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,,,,,
P032,Gua Musang,Gua Musang,Tengku Razaleigh Mohd Hamzah,Tengku Razaleigh Bin Tengku Mohd Hamzah,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Gua Musang,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P033,Besut,Besut,Idris Jusoh,Idris Bin Jusoh,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Besut,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P033,Besut,Besut,Riduan Mohamad Nor,Riduan Bin Mohamad Nor,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Besut,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P033,Besut,Besut,Wan Nazari Wan Jusoh,Wan Nazari Bin Wan Jusoh,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Besut,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,,,,,
P034,Setiu,Setiu,Mohd Faudzi Musa,Mohd Faudzi Bin Musa,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Setiu,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,,,,,
P034,Setiu,Setiu,Mohd Jidin Shafee,Mohd Jidin Bin Shafee,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Setiu,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P034,Setiu,Setiu,Shaharizukirnain Abd Kadir,Shaharizukirnain Bin Abd Kadir,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Setiu,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P035,Kuala Nerus,Kuala Nerus,Abdullah Mohamed,Abdullah Bin Mohamed,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Kuala Nerus,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,,,,,
P035,Kuala Nerus,Kuala Nerus,Mohd Khairuddin Aman Razali,Mohd Khairuddin Bin Aman Razali,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Kuala Nerus,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P035,Kuala Nerus,Kuala Nerus,Tengku Asmadi Tengku Mohamad,Tengku Asmadi Bin Tengku Mohamad,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Kuala Nerus,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P036,Kuala Terengganu,Kuala Terengganu,Ahmad Amzad Mohamed @ Hashim,Ahmad Amzad Bin Mohamed @ Hashim,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Kuala Terengganu,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P036,Kuala Terengganu,Kuala Terengganu,Raja Kamarul Bahrin Shah,Raja Kamarul Bahrin Shah,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Kuala Terengganu,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,,,,,
P036,Kuala Terengganu,Kuala Terengganu,Wan Nawawi Wan Ismail,Wan Nawawi Bin Wan Ismail,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Kuala Terengganu,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P037,Marang,Marang,Abdul Hadi Awang,Abdul Hadi Bin Awang,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Marang,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
