area_identifier,area_name_en,area_name_ms,person_name_en,person_name_ms,post_role_en,post_role_ms,post_label_en,post_label_ms,on_behalf_of_name_en,on_behalf_of_name_ms,actual_party,start_date,end_date,person_id,membership_id,post_id,area_id,on_behalf_of_id
P003/N11,Pauh,Pauh,Amier Hassan,Amier Bin Hassan,GE14 Candidate for Perlis Assembly,,GE14 Candidate State Representative for Pauh,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,536309c319ee29270d8a9e26
P003/N11,Pauh,Pauh,Idris Yaacob,Idris Bin Yaacob,GE14 Candidate for Perlis Assembly,,GE14 Candidate State Representative for Pauh,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,545de8665222837c2c0586be
P003/N11,Pauh,Pauh,Rozieana Ahmad,Rozieana Binti Ahmad,GE14 Candidate for Perlis Assembly,,GE14 Candidate State Representative for Pauh,,National Front,Barisan Nasional,UMNO,,,,,,,545de8605222837c2c05869e
P003/N12,Tambun Tulang,Tambun Tulang,Abu Bakar Ali,Abu Bakar Bin Ali,GE14 Candidate for Perlis Assembly,,GE14 Candidate State Representative for Tambun Tulang,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,545de8665222837c2c0586be
P003/N12,Tambun Tulang,Tambun Tulang,Ismail Kasim,Ismail Bin Kasim,GE14 Candidate for Perlis Assembly,,GE14 Candidate State Representative for Tambun Tulang,,National Front,Barisan Nasional,UMNO,,,,,,,545de8605222837c2c05869e
P003/N12,Tambun Tulang,Tambun Tulang,Maton Din,Maton Bin Din,GE14 Candidate for Perlis Assembly,,GE14 Candidate State Representative for Tambun Tulang,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,536309c319ee29270d8a9e26
P003/N13,Guar Sanji,Guar Sanji,Afifi Osman,Afifi Bin Osman,GE14 Candidate for Perlis Assembly,,GE14 Candidate State Representative for Guar Sanji,,National Front,Barisan Nasional,UMNO,,,,,,,545de8605222837c2c05869e
P003/N13,Guar Sanji,Guar Sanji,Baridah Che Nayan,Baridah Binti Che Nayan,GE14 Candidate for Perlis Assembly,,GE14 Candidate State Representative for Guar Sanji,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,536309c319ee29270d8a9e26
P003/N13,Guar Sanji,Guar Sanji,Mohd Ridzuan Hashim,Mohd Ridzuan Hashim,GE14 Candidate for Perlis Assembly,,GE14 Candidate State Representative for Guar Sanji,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,545de8665222837c2c0586be
P003/N14,Simpang Empat,Simpang Empat,Nurulhisham Yaakob,Nurulhisham Bin Yaakob,GE14 Candidate for Perlis Assembly,,GE14 Candidate State Representative for Simpang Empat,,National Front,Barisan Nasional,UMNO,,,,,,,545de8605222837c2c05869e
P003/N14,Simpang Empat,Simpang Empat,Rus'sele Eizan,Rus'sele Bin Eizan,GE14 Candidate for Perlis Assembly,,GE14 Candidate State Representative for Simpang Empat,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,545de8665222837c2c0586be
P003/N14,Simpang Empat,Simpang Empat,Wan Noralhakim Shaghir Saad,Wan Noralhakim Shaghir Bin Saad,GE14 Candidate for Perlis Assembly,,GE14 Candidate State Representative for Simpang Empat,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,536309c319ee29270d8a9e26
P003/N15,Sanglang,Sanglang,Che Zaidi Saidin,Che Zaidi Bin Saidin,GE14 Candidate for Perlis Assembly,,GE14 Candidate State Representative for Sanglang,,National Front,Barisan Nasional,UMNO,,,,,,,545de8605222837c2c05869e
P003/N15,Sanglang,Sanglang,Mohd Shukri Ramli,Mohd Shukri Bin Ramli,GE14 Candidate for Perlis Assembly,,GE14 Candidate State Representative for Sanglang,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,545de8665222837c2c0586be
P003/N15,Sanglang,Sanglang,Zolkharnain Abidin,Zolkharnain Bin Abidin,GE14 Candidate for Perlis Assembly,,GE14 Candidate State Representative for Sanglang,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,536309c319ee29270d8a9e26
