area_identifier,area_name_en,area_name_ms,person_name_en,person_name_sl,post_role_en,post_role_ms,post_label_en,post_label_ms,on_behalf_of_name_en,on_behalf_of_name_ms,actual_party,start_date,end_date,person_id,membership_id,post_id,area_id,on_behalf_of_id
P031/N40,Guchil,Guchil,Hilmi Abdullah,Hilmi Abdullah,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Guchil,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P031/N40,Guchil,Guchil,Mohd Roslan Puteh,Mohd Roslan Bin Puteh,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Guchil,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,
P031/N40,Guchil,Guchil,Zuber Hassan,Zuber Bin Hassan,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Guchil,,National Front,Barisan Nasional,UMNO,,,,,,,
P031/N41,Manek Urai,Manek Urai,Deraman Mamat,Deraman Bin Mamat,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Manek Urai,,Independent,Bebas,,,,,,,,
P031/N41,Manek Urai,Manek Urai,Mohamed Dahan Mat Jali,Mohamed Dahan Bin Mat Jali,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Manek Urai,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,
P031/N41,Manek Urai,Manek Urai,Mohd Fauzi Abdullah,Mohd Fauzi Abdullah,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Manek Urai,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P031/N41,Manek Urai,Manek Urai,Suzaini Adlina Sukri,Suzaini Adlina BInti Sukri,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Manek Urai,,National Front,Barisan Nasional,UMNO,,,,,,,
P031/N42,Dabong,Dabong,Ku Mohd Zaki Ku Hussin,Ku Mohd Zaki Bin Ku Hussin,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Dabong,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P031/N42,Dabong,Dabong,Muhammad Awang,Muhammad Bin Awang,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Dabong,,National Front,Barisan Nasional,UMNO,,,,,,,
P031/N42,Dabong,Dabong,Wan Ahamad Fadzil Wan Omar,Wan Ahamad Fadzil Bin Wan Omar,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Dabong,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,
P032/N43,Menggiri,Menggiri,Ab Aziz Yusoff,Ab Aziz Bin Yusoff,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Nenggiri,,National Front,Barisan Nasional,UMNO,,,,,,,
P032/N43,Menggiri,Menggiri,Mohd Sidek @ Mohd Saupi Abdul Razak,Mohd Sidek @ Mohd Saupi BI Abdul Razak,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Nenggiri,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P032/N43,Menggiri,Menggiri,Othman Yusoff,Othman BIn Yusoff,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Nenggiri,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,
P032/N44,Paloh,Paloh,Amran Arifin,Amran Bin Arifin,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Paloh,,National Front,Barisan Nasional,UMNO,,,,,,,
P032/N44,Paloh,Paloh,Azman Ahmad,Azman BIn Ahmad,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Paloh,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P032/N44,Paloh,Paloh,Noraini Husin,Noraini Binti Husin,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Paloh,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,
P032/N45,Galas,Galas,Mohd Syahbuddin Hashim,Mohd Syahbuddin Hashim,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Galas,,National Front,Barisan Nasional,UMNO,,,,,,,
P032/N45,Galas,Galas,Nasir Dollah,Nasir Bin Dollah,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Galas,,People's Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,
P032/N45,Galas,Galas,Suhaimi Mat Deris,Suhaimi Bin Mat Deris,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Galas,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
