area_identifier,area_name_en,area_name_ms,person_name_en,person_name_sl,post_role_en,post_role_ms,post_label_en,post_label_ms,on_behalf_of_name_en,on_behalf_of_name_ms,actual_party,start_date,end_date,person_id,membership_id,post_id,area_id,on_behalf_of_id
P009/N13,Kota Darul Aman,Kota Darul Aman,Tan Eng Hwa,Tan Eng Hwa,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Kota Darul Aman,,National Front,Barisan Nasional,MCA,,,,,,,
P009/N13,Kota Darul Aman,Kota Darul Aman,Tan Kang Yap,Tan Kang Yap,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Kota Darul Aman,,Malaysian People's Party,Parti Rakyat Malaysia,PRM,,,,,,,
P009/N13,Kota Darul Aman,Kota Darul Aman,Teh Swee Leong,Teh Swee Leong,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Kota Darul Aman,,People’s Justice Party,Parti Keadilan Rakyat,DAP,,,,,,,
P009/N13,Kota Darul Aman,Kota Darul Aman,Zulkifli Che Haron,Zulkifli Bin Che Haron,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Kota Darul Aman,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P009/N14,Alor Mengkudu,Alor Mengkudu,Abdul Malik Saad,Abdul Malik Bin Saad,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Alor Mengkudu,,National Front,Barisan Nasional,UMNO,,,,,,,
P009/N14,Alor Mengkudu,Alor Mengkudu,Ahmad Saad @ Yahaya,Ahmad Bin Saad @ Yahaya,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Alor Mengkudu,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P009/N14,Alor Mengkudu,Alor Mengkudu,Phahrolrazi Mohd Zawawi,Phahrolrazi Bin Mohd Zawawi,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Alor Mengkudu,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,
P010/N15,Anak Bukit,Anak Bukit,Amiruddin Hamzah,Amiruddin BIn Hamzah,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Anak Bukit,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,
P010/N15,Anak Bukit,Anak Bukit,Hamdi Ishak,Hamdi Bin Ishak,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Anak Bukit,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P010/N15,Anak Bukit,Anak Bukit,Johari Aziz,Johari Bin Aziz,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Anak Bukit,,National Front,Barisan Nasional,UMNO,,,,,,,
P010/N16,Kubang Rotan,Kubang Rotan,Abdul Muthalib Harun,Abdul Muthalib Bin Harun,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Kubang Rotan,,National Front,Barisan Nasional,UMNO,,,,,,,
P010/N16,Kubang Rotan,Kubang Rotan,Mohd Asmirul Anuar Aris,Mohd Asmirul Anuar Bin Aris,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Kubang Rotan,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,
P010/N16,Kubang Rotan,Kubang Rotan,Omar Saad,Omar Bin Saad,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Kubang Rotan,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P010/N17,Pengkalan Kundor,Pengkalan Kundor,Abdul Halim Said,Abdul Halim Bin Said,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Pengkalan Kundor,,National Front,Barisan Nasional,UMNO,,,,,,,
P010/N17,Pengkalan Kundor,Pengkalan Kundor,Ahmad Fakhriuddin Sheikh Fakhrurazi (Dr.),Ahmad Fakhriuddin Sheikh Fakhrurazi (Dr.),GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Pengkalan Kundor,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P010/N17,Pengkalan Kundor,Pengkalan Kundor,Ismail Salleh,Ismail Bin Salleh,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Pengkalan Kundor,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,
P011/N18,Tokai,Tokai,Ahmad Fatahi Omar,Ahmad Fatahi BIn Omar,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Tokai,,National Front,Barisan Nasional,UMNO,,,,,,,
P011/N18,Tokai,Tokai,Mohd Firdaus Jaafar,Mohd Firdaus Bin Jaafar,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Tokai,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,
P011/N18,Tokai,Tokai,Mohd Hayati Othman,Mohd Hayati Bin Othman,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Tokai,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P011/N19,Sungai Tiang,Sungai Tiang,Abdul Razak Khamis,Abdul Razak Bin Khamis,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Sungai Tiang,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,
P011/N19,Sungai Tiang,Sungai Tiang,Saiful Syazwan Shafie,Saiful Syazwan Bin Shafie,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Sungai Tiang,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P011/N19,Sungai Tiang,Sungai Tiang,Suraya Yaacob,Suraya Binti Yaacob,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Sungai Tiang,,National Front,Barisan Nasional,UMNO,,,,,,,
P012/N20,Sungai Limau,Sungai Limau,Mohd Azam Abd Samat,Mohd Azam Bin Abd Samat,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Sungai Limau,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
