area_identifier,area_name_en,area_name_ms,person_name_en,person_name_sl,post_role_en,post_role_ms,post_label_en,post_label_ms,on_behalf_of_name_en,on_behalf_of_name_ms,actual_party,start_date,end_date,person_id,membership_id,post_id,area_id,on_behalf_of_id
P036/N16,Batu Buruk,Batu Buruk,Raja Kamarul Bahrin Shah,Raja Kamarul Bahrin Shah,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Batu Buruk,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,
P036/N16,Batu Buruk,Batu Buruk,Zamri Awang Hitam,Zamri Bin Awang Hitam,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Batu Buruk,,National Front,Barisan Nasional,UMNO,,,,,,,
P037/N17,Alur Limbat,Alur Limbat,Ahmad Sabri Ali @ Mamat,Ahmad Sabri Bin Ali @ Mamat,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Alur Limbat,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,
P037/N17,Alur Limbat,Alur Limbat,Ariffin Deraman,Ariffin BIn Deraman,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Alur Limbat,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P037/N17,Alur Limbat,Alur Limbat,Saiful Bahri Baharuddin,Saiful Bahri Bin Baharuddin,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Alur Limbat,,National Front,Barisan Nasional,UMNO,,,,,,,
P037/N18,Bukit Payung,Bukit Payung,Mohd Dalizan Abd Aziz,Mohd Dalizan Bin Abd Aziz,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Bukit Payung,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,
P037/N18,Bukit Payung,Bukit Payung,Mohd Nor Hamzah,Mohd Nor Bin Hamzah,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Bukit Payung,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P037/N18,Bukit Payung,Bukit Payung,Zaitun Mat Amin,Zaitun Binti Mat Amin,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Bukit Payung,,National Front,Barisan Nasional,UMNO,,,,,,,
P037/N19,Ru Rendang,Ru Rendang,Ahmad Samsuri Mokhtar,Ahmad Samsuri Bin Mokhtar,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Ru Rendang,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P037/N19,Ru Rendang,Ru Rendang,Nik Dir Nik Wan Ku,Nik Dir Bin Nik Wan Ku,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Ru Rendang,,National Front,Barisan Nasional,UMNO,,,,,,,
P037/N19,Ru Rendang,Ru Rendang,Zarawi Sulong,Zarawi Bin Sulong,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Ru Rendang,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,
P037/N20,Pengkalan Berangan,Pengkalan Berangan,A Latiff Awang,A Latiff Bin Awang,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Pengkalan Berangan,,National Front,Barisan Nasional,UMNO,,,,,,,
P037/N20,Pengkalan Berangan,Pengkalan Berangan,Aidi Ahmad,Aidi Bin Ahmad,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Pengkalan Berangan,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,
P037/N20,Pengkalan Berangan,Pengkalan Berangan,Sulaiman Long,Sulaiman Bin Long,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Pengkalan Berangan,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P038/N21,Telemung,Telemung,Kamaruzaman Abdullah,Kamaruzaman Bin Abdullah,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Telemung,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P038/N21,Telemung,Telemung,Rozi Mamat,Rozi Bin Mamat,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Telemung,,National Front,Barisan Nasional,UMNO,,,,,,,
P038/N21,Telemung,Telemung,Sharifah Norhayati Syed Omar,Sharifah Norhayati Binti Syed Omar,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Telemung,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,
P038/N22,Manir,Manir,Hilmi Harun,Hilmi Bin Harun,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Manir,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P038/N22,Manir,Manir,Mohd Hafizuddin Hussain,Mohd Hafizuddin Bin Hussain,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Manir,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,
P038/N22,Manir,Manir,Yusof Awang Hitam,Yusof Bin Awang Hitam,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Manir,,National Front,Barisan Nasional,UMNO,,,,,,,
P038/N23,Kuala Berang,Kuala Berang,Mamad Puteh,Mamad Bin Puteh,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Kuala Berang,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P038/N23,Kuala Berang,Kuala Berang,Mohd Nor Othman,Mohd Nor Bin Othman,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Kuala Berang,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,
P038/N23,Kuala Berang,Kuala Berang,T Putera T Awang,T Putera Bin T Awang,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Kuala Berang,,National Front,Barisan Nasional,UMNO,,,,,,,
P038/N24,Ajil,Ajil,Ghazali Taib,Ghazali BIn Taib,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Ajil,,National Front,Barisan Nasional,UMNO,,,,,,,
